Broker,Trial,Elapsed,Watts,Total Published(Messages),Publish Rate(Messages/s),Total Received(Messages),Receive Rate(Messages/s)
mochi,10,12,4.2,2382,200,298774,31870
mochi,10,13,4.2,2582,200,322558,23784
mochi,10,14,3.7,2782,200,339704,17146
mochi,10,15,3.6,2982,200,345304,5600
mochi,10,16,3.6,3182,200,351477,6173
mochi,10,17,3.8,3382,200,369815,18338
mochi,10,18,3.9,3582,200,404000,34185
mochi,10,19,5.2,3782,200,449681,45681
mochi,10,20,3.6,3982,200,466234,12571
hive,6,1,4.1,133,132.47,5620,5597.61
hive,6,2,4.9,330,197,20134,14514
hive,6,3,5.3,530,200,38423,18289
hive,6,4,5.2,730,200,61880,23457
hive,6,5,5.6,930,200,84365,22485
hive,6,6,5.5,1130,200,107527,23162
hive,6,7,5.8,1330,200,130457,22930
hive,6,8,5.8,1530,200,154106,23649
hive,6,9,5.3,1730,200,188801,34695
hive,6,10,3.5,1930,200,216949,28148
hive,6,11,5.3,2130,200,253977,37028
hive,6,12,5.6,2330,200,279710,25733
hive,6,13,6.2,2530,200,295393,15683
hive,6,14,5.7,2730,200,318537,23144
hive,6,15,5.9,2930,200,346638,28101
hive,6,16,3.4,3130,200,361289,14651
hive,6,17,4.9,3330,200,365695,4406
hive,6,18,5.5,3530,200,423676,57981
hive,6,19,5.9,3730,200,473566,49890
hive,6,20,4.8,3930,200,498992,25426
hive,7,1,4.5,173,172.14,6843,6815.74
hive,7,2,5.2,373,200,23815,16972
hive,7,3,4.8,573,200,39494,15679
hive,7,4,4.9,773,200,60396,20902
hive,7,5,4.5,973,200,78158,17762
hive,7,6,4.6,1173,200,102452,24294
hive,7,7,5.3,1373,200,126993,24541
hive,7,8,4.8,1573,200,145873,18880
hive,7,9,4.7,1773,200,150157,4284
hive,7,10,5,1973,200,151925,1768
hive,7,11,4.7,2173,200,157230,5305
hive,7,12,3.6,2373,200,187863,30633
hive,7,13,5.2,2573,200,233422,45513.49
hive,7,14,5.6,2773,200,266379,32989.99
hive,7,15,6,2973,200,280840,14461
hive,7,16,5.7,3173,200,291077,10237
hive,7,17,5.7,3373,200,316027,24950
hive,7,18,5.7,3573,200,337192,21165
hive,7,19,6,3773,200,358963,21771
hive,7,20,5.4,3973,200,374279,15316
hive,8,1,5,174,173.13,7293,7263.94
hive,8,2,5,374,200,23234,15941
hive,8,3,5.3,574,200,41640,18406
hive,8,4,4.6,774,200,63663,22023
hive,8,5,5.2,974,200,86455,22792
hive,8,6,5,1174,200,108388,21933
hive,8,7,3.7,1374,200,135907,27519
hive,8,8,5.1,1574,200,143725,7818
hive,8,9,5.9,1774,200,147392,3667
hive,8,10,4.5,1974,200,158528,11136
hive,8,11,5.5,2174,200,202692,44164
hive,8,12,4.7,2374,200,236417,33725
hive,8,13,4.1,2574,200,267861,31444
hive,8,14,5.5,2774,200,293281,25420
hive,8,15,4.2,2974,200,316966,23685
hive,8,16,5.2,3174,200,331063,14097
hive,8,17,5.5,3374,200,351614,20551
hive,8,18,5.6,3574,200,358670,7048.95
hive,8,19,5.1,3774,200,365614,6950.95
hive,8,20,5.8,3974,200,399950,34336
hive,9,1,4,182,181.27,5465,5443.23
hive,9,2,4.7,382,200,22347,16882
hive,9,3,4.6,582,200,39560,17213
hive,9,4,4.8,782,200,59103,19543
hive,9,5,5.3,982,200,80884,21781
hive,9,6,4.8,1182,200,107874,26990
hive,9,7,5,1382,200,133439,25565
hive,9,8,5.1,1582,200,145676,12237
hive,9,9,4.8,1782,200,150840,5164
hive,9,10,3.4,1982,200,154980,4140
hive,9,11,6.1,2182,200,197630,42650
hive,9,12,5.6,2382,199.8,237915,40285
hive,9,13,5.9,2582,200.2,251863,13948
hive,9,14,5.1,2782,200,282666,30803
hive,9,15,3.7,2982,200,299050,16384
hive,9,16,5.8,3182,200,305539,6489
hive,9,17,5.9,3382,200,311167,5628
hive,9,18,5.8,3582,200,332024,20836.16
hive,9,19,4.9,3782,200,378037,46059.06
hive,9,20,5.3,3982,199.8,409196,31159
hive,10,1,4.6,181,180.1,7334,7297.51
hive,10,2,4.7,381,200,20603,13269
hive,10,3,4.6,581,200,38599,17996
hive,10,4,5,781,200,56054,17455
hive,10,5,4.8,981,200,80131,24077
hive,10,6,5.2,1181,200,106107,25976
hive,10,7,5.2,1381,200,133120,27013
hive,10,8,5,1581,200,144555,11435
hive,10,9,4.1,1781,200,149070,4510.49
hive,10,10,3.3,1981,200,157320,8258.26
hive,10,11,4.8,2181,200,200150,42830
hive,10,12,5.4,2381,200,233487,33337
hive,10,13,5.8,2581,200,240899,7412
hive,10,14,6.2,2781,200,268376,27477
hive,10,15,6.1,2981,200,271753,3377
hive,10,16,5.3,3181,200,285549,13796
hive,10,17,3.7,3381,200,312598,27049
hive,10,18,5,3581,200,341852,29254
hive,10,19,5.9,3781,200,352456,10604
hive,10,20,5.7,3981,200,353427,971
